algorithm,repetition,num_tests,input_path_coverage,input_operation_coverage,input_parameter_coverage,input_parameter_value_coverage,output_status_code_class_coverage,output_status_code_coverage,output_response_body_properties_coverage
RANDOM,0,78,100.0,100.0,100.0,66.66666666666666,86.8421052631579,62.22222222222222,42.47787610619469
SMARTS,0,77,100.0,100.0,97.67441860465115,33.33333333333333,84.21052631578947,57.77777777777777,26.253687315634217
WTS,0,65,100.0,100.0,100.0,66.66666666666666,81.57894736842105,60.0,42.0353982300885
RANDOM,1,72,100.0,100.0,100.0,66.66666666666666,81.57894736842105,62.22222222222222,38.34808259587021
SMARTS,1,76,100.0,100.0,100.0,66.66666666666666,84.21052631578947,60.0,35.25073746312684
WTS,1,68,100.0,100.0,100.0,66.66666666666666,84.21052631578947,64.44444444444444,42.92035398230089
RANDOM,2,76,100.0,100.0,100.0,66.66666666666666,84.21052631578947,62.22222222222222,42.47787610619469
SMARTS,2,81,100.0,100.0,97.67441860465115,50.0,86.8421052631579,62.22222222222222,38.64306784660767
WTS,2,77,100.0,100.0,100.0,66.66666666666666,84.21052631578947,62.22222222222222,37.905604719764014
RANDOM,3,70,100.0,100.0,100.0,66.66666666666666,81.57894736842105,60.0,43.51032448377581
SMARTS,3,83,100.0,100.0,95.34883720930233,41.66666666666667,84.21052631578947,57.77777777777777,35.9882005899705
WTS,3,74,100.0,100.0,100.0,66.66666666666666,84.21052631578947,60.0,42.0353982300885
RANDOM,4,71,100.0,100.0,100.0,66.66666666666666,81.57894736842105,60.0,42.0353982300885
SMARTS,4,83,100.0,100.0,100.0,66.66666666666666,86.8421052631579,62.22222222222222,37.75811209439528
WTS,4,72,100.0,100.0,100.0,66.66666666666666,81.57894736842105,57.77777777777777,37.46312684365782
RANDOM,5,69,100.0,100.0,100.0,66.66666666666666,78.94736842105263,57.77777777777777,42.0353982300885
SMARTS,5,81,100.0,100.0,93.02325581395348,50.0,84.21052631578947,60.0,33.92330383480826
WTS,5,77,100.0,100.0,100.0,66.66666666666666,86.8421052631579,60.0,38.49557522123894
RANDOM,6,76,100.0,100.0,100.0,58.333333333333336,86.8421052631579,60.0,43.067846607669615
SMARTS,6,82,100.0,100.0,97.67441860465115,50.0,84.21052631578947,60.0,28.908554572271388
WTS,6,75,100.0,100.0,100.0,66.66666666666666,86.8421052631579,60.0,43.067846607669615
RANDOM,7,64,100.0,100.0,100.0,58.333333333333336,81.57894736842105,60.0,43.51032448377581
SMARTS,7,85,100.0,100.0,100.0,58.333333333333336,84.21052631578947,57.77777777777777,28.466076696165192
WTS,7,79,100.0,100.0,100.0,66.66666666666666,86.8421052631579,60.0,43.067846607669615
RANDOM,8,78,100.0,100.0,100.0,66.66666666666666,89.47368421052632,62.22222222222222,42.47787610619469
SMARTS,8,84,100.0,100.0,100.0,58.333333333333336,86.8421052631579,62.22222222222222,32.15339233038348
WTS,8,70,100.0,100.0,100.0,66.66666666666666,86.8421052631579,60.0,43.067846607669615
RANDOM,9,76,100.0,100.0,100.0,66.66666666666666,84.21052631578947,60.0,42.0353982300885
SMARTS,9,87,100.0,100.0,97.67441860465115,50.0,86.8421052631579,62.22222222222222,36.283185840707965
WTS,9,80,100.0,100.0,100.0,66.66666666666666,81.57894736842105,60.0,37.46312684365782
